Quantize param model.embed_tokens.weight to F32	  size:544538624
Quantize param model.layers.22.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.22.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.23.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.23.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.23.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.23.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.23.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.23.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.23.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.23.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.23.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.23.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.23.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.23.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.3.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.3.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.3.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.3.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.3.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.3.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.3.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.3.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.3.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.3.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.3.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.3.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.4.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.4.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.4.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.4.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.4.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.4.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.4.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.4.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.4.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.4.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.4.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.4.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.5.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.5.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.5.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.5.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.5.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.5.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.5.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.5.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.5.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.5.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.5.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.5.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.6.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.6.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.6.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.6.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.6.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.6.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.6.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.6.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.6.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.6.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.6.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.6.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.7.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.7.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.7.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.7.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.7.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.7.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.7.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.7.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.7.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.7.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.7.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.7.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.8.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.8.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.8.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.8.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.8.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.8.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.8.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.8.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.8.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.8.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.8.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.8.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.9.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.9.mlp.down_proj.weight to Q6_K	  size:3575040 type:Q6_K
Quantize param model.layers.9.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.9.mlp.up_proj.weight to Q4_K	  size:2451456
Quantize param model.layers.9.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.9.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.9.self_attn.k_proj.weight to Q4_K	  size:64512
Quantize param model.layers.9.self_attn.o_proj.weight to Q4_K	  size:451584
Quantize param model.layers.9.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.9.self_attn.q_proj.weight to Q4_K	  size:451584
Quantize param model.layers.9.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.9.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.norm.weight to F32	  size:3584
write param model.embed_tokens.weight size 544538624 offset 17886 type 0
write param model.layers.0.input_layernorm.weight size 3584 offset 544556510 type 0
write param model.layers.0.mlp.down_proj.weight size 3575040 offset 544560094 type 14
write param model.layers.0.mlp.gate_proj.weight size 17432576 offset 548135134 type 0
write param model.layers.0.mlp.up_proj.weight size 2451456 offset 565567710 type 12
write param model.layers.0.post_attention_layernorm.weight size 3584 offset 568019166 type 0
write param model.layers.0.self_attn.k_proj.bias size 512 offset 568022750 type 0
write param model.layers.0.self_attn.k_proj.weight size 64512 offset 568023262 type 12
write param model.layers.0.self_attn.o_proj.weight size 451584 offset 568087774 type 12
write param model.layers.0.self_attn.q_proj.bias size 3584 offset 568539358 type 0
write param model.layers.0.self_attn.q_proj.weight size 451584 offset 568542942 type 12
write param model.layers.0.self_attn.v_proj.bias size 512 offset 568994526 type 0
write param model.layers.0.self_attn.v_proj.weight size 64512 offset 568995038 type 2
write param model.layers.1.input_layernorm.weight size 3584 offset 569059550 type 0
write param model.layers.1.mlp.down_proj.weight size 3575040 offset 569063134 type 14
write param model.layers.1.mlp.gate_proj.weight size 17432576 offset 572638174 type 0
write param model.layers.1.mlp.up_proj.weight size 2451456 offset 590070750 type 12
write param model.layers.1.post_attention_layernorm.weight size 3584 offset 592522206 type 0
write param model.layers.1.self_attn.k_proj.bias size 512 offset 592525790 type 0
write param model.layers.1.self_attn.k_proj.weight size 64512 offset 592526302 type 12
write param model.layers.1.self_attn.o_proj.weight size 451584 offset 592590814 type 12
write param model.layers.1.self_attn.q_proj.bias size 3584 offset 593042398 type 0
write param model.layers.1.self_attn.q_proj.weight size 451584 offset 593045982 type 12
write param model.layers.1.self_attn.v_proj.bias size 512 offset 593497566 type 0
write param model.layers.1.self_attn.v_proj.weight size 64512 offset 593498078 type 2
write param model.layers.10.input_layernorm.weight size 3584 offset 593562590 type 0
write param model.layers.10.mlp.down_proj.weight size 3575040 offset 593566174 type 14
write param model.layers.10.mlp.gate_proj.weight size 17432576 offset 597141214 type 0
write param model.layers.10.mlp.up_proj.weight size 2451456 offset 614573790 type 12
write param model.layers.10.post_attention_layernorm.weight size 3584 offset 617025246 type 0
write param model.layers.10.self_attn.k_proj.bias size 512 offset 617028830 type 0
write param model.layers.10.self_attn.k_proj.weight size 64512 offset 617029342 type 12
write param model.layers.10.self_attn.o_proj.weight size 451584 offset 617093854 type 12
write param model.layers.10.self_attn.q_proj.bias size 3584 offset 617545438 type 0
write param model.layers.10.self_attn.q_proj.weight size 451584 offset 617549022 type 12
write param model.layers.10.self_attn.v_proj.bias size 512 offset 618000606 type 0
write param model.layers.10.self_attn.v_proj.weight size 64512 offset 618001118 type 2
write param model.layers.11.input_layernorm.weight size 3584 offset 618065630 type 0
write param model.layers.11.mlp.down_proj.weight size 3575040 offset 618069214 type 14
write param model.layers.11.mlp.gate_proj.weight size 17432576 offset 621644254 type 0
write param model.layers.11.mlp.up_proj.weight size 2451456 offset 639076830 type 12
write param model.layers.11.post_attention_layernorm.weight size 3584 offset 641528286 type 0
write param model.layers.11.self_attn.k_proj.bias size 512 offset 641531870 type 0
write param model.layers.11.self_attn.k_proj.weight size 64512 offset 641532382 type 12
write param model.layers.11.self_attn.o_proj.weight size 451584 offset 641596894 type 12
write param model.layers.11.self_attn.q_proj.bias size 3584 offset 642048478 type 0
write param model.layers.11.self_attn.q_proj.weight size 451584 offset 642052062 type 12
write param model.layers.11.self_attn.v_proj.bias size 512 offset 642503646 type 0
write param model.layers.11.self_attn.v_proj.weight size 64512 offset 642504158 type 2
write param model.layers.12.input_layernorm.weight size 3584 offset 642568670 type 0
write param model.layers.12.mlp.down_proj.weight size 3575040 offset 642572254 type 14
write param model.layers.12.mlp.gate_proj.weight size 17432576 offset 646147294 type 0
write param model.layers.12.mlp.up_proj.weight size 2451456 offset 663579870 type 12
write param model.layers.12.post_attention_layernorm.weight size 3584 offset 666031326 type 0
write param model.layers.12.self_attn.k_proj.bias size 512 offset 666034910 type 0
write param model.layers.12.self_attn.k_proj.weight size 64512 offset 666035422 type 12
write param model.layers.12.self_attn.o_proj.weight size 451584 offset 666099934 type 12
write param model.layers.12.self_attn.q_proj.bias size 3584 offset 666551518 type 0
write param model.layers.12.self_attn.q_proj.weight size 451584 offset 666555102 type 12
write param model.layers.12.self_attn.v_proj.bias size 512 offset 667006686 type 0
write param model.layers.12.self_attn.v_proj.weight size 64512 offset 667007198 type 2
write param model.layers.13.input_layernorm.weight size 3584 offset 667071710 type 0
write param model.layers.13.mlp.down_proj.weight size 3575040 offset 667075294 type 14
write param model.layers.13.mlp.gate_proj.weight size 17432576 offset 670650334 type 0
write param model.layers.13.mlp.up_proj.weight size 2451456 offset 688082910 type 12
write param model.layers.13.post_attention_layernorm.weight size 3584 offset 690534366 type 0
write param model.layers.13.self_attn.k_proj.bias size 512 offset 690537950 type 0
write param model.layers.13.self_attn.k_proj.weight size 64512 offset 690538462 type 12
write param model.layers.13.self_attn.o_proj.weight size 451584 offset 690602974 type 12
write param model.layers.13.self_attn.q_proj.bias size 3584 offset 691054558 type 0
write param model.layers.13.self_attn.q_proj.weight size 451584 offset 691058142 type 12
write param model.layers.13.self_attn.v_proj.bias size 512 offset 691509726 type 0
write param model.layers.13.self_attn.v_proj.weight size 64512 offset 691510238 type 2
write param model.layers.14.input_layernorm.weight size 3584 offset 691574750 type 0
write param model.layers.14.mlp.down_proj.weight size 3575040 offset 691578334 type 14
write param model.layers.14.mlp.gate_proj.weight size 17432576 offset 695153374 type 0
write param model.layers.14.mlp.up_proj.weight size 2451456 offset 712585950 type 12
write param model.layers.14.post_attention_layernorm.weight size 3584 offset 715037406 type 0
write param model.layers.14.self_attn.k_proj.bias size 512 offset 715040990 type 0
write param model.layers.14.self_attn.k_proj.weight size 64512 offset 715041502 type 12
write param model.layers.14.self_attn.o_proj.weight size 451584 offset 715106014 type 12
write param model.layers.14.self_attn.q_proj.bias size 3584 offset 715557598 type 0
write param model.layers.14.self_attn.q_proj.weight size 451584 offset 715561182 type 12
write param model.layers.14.self_attn.v_proj.bias size 512 offset 716012766 type 0
write param model.layers.14.self_attn.v_proj.weight size 64512 offset 716013278 type 2
write param model.layers.15.input_layernorm.weight size 3584 offset 716077790 type 0
write param model.layers.15.mlp.down_proj.weight size 3575040 offset 716081374 type 14
write param model.layers.15.mlp.gate_proj.weight size 17432576 offset 719656414 type 0
write param model.layers.15.mlp.up_proj.weight size 2451456 offset 737088990 type 12
write param model.layers.15.post_attention_layernorm.weight size 3584 offset 739540446 type 0
write param model.layers.15.self_attn.k_proj.bias size 512 offset 739544030 type 0
write param model.layers.15.self_attn.k_proj.weight size 64512 offset 739544542 type 12
write param model.layers.15.self_attn.o_proj.weight size 451584 offset 739609054 type 12
