Quantize 290 params to Q4_0
Quantize param model.embed_tokens.weight to F32	  size:544538624
Quantize param model.layers.15.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.15.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.15.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.15.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.15.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.15.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.15.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.15.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.15.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.15.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.15.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.16.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.16.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.16.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.16.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.16.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.16.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.16.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.16.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.16.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.16.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.16.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.16.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.17.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.17.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.17.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.17.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.17.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.17.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.17.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.17.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.17.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.17.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.17.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.17.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.18.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.18.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.18.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.18.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.18.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.18.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.18.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.18.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.18.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.18.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.18.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.18.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.19.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.19.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.19.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.19.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.19.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.19.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.19.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.19.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.19.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.19.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.19.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.19.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.2.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.2.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.2.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.2.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.2.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.2.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.2.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.2.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.2.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.2.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.2.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.2.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.20.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.20.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.20.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.20.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.20.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.20.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.20.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.20.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.20.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.20.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.20.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.20.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.21.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.21.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.21.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.21.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.21.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.21.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.21.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.21.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.21.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.21.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.21.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.21.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.22.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.22.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.22.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.22.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.22.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.22.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.22.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.22.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.22.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.22.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.22.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.22.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.23.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.23.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.23.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.23.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.23.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.23.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.23.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.23.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.23.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.23.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.23.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.23.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.3.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.3.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.3.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.3.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.3.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.3.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.3.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.3.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.3.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.3.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.3.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.3.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.4.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.4.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.4.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.4.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.4.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.4.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.4.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.4.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.4.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.4.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.4.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.4.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.5.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.5.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.5.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.5.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.5.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.5.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.5.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.5.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.5.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.5.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.5.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.5.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.6.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.6.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.6.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.6.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.6.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.6.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.6.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.6.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.6.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.6.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.6.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.6.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.7.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.7.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.7.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.7.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.7.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.7.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.7.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.7.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.7.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.7.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.7.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.7.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.8.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.8.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.8.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.8.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.8.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.8.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.8.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.8.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.8.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.8.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.8.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.8.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.layers.9.input_layernorm.weight to F32	  size:3584
Quantize param model.layers.9.mlp.down_proj.weight to Q4_0	  size:2451456 type:Q4_0
Quantize param model.layers.9.mlp.gate_proj.weight to F32	  size:17432576
Quantize param model.layers.9.mlp.up_proj.weight to Q4_0	  size:2451456
Quantize param model.layers.9.post_attention_layernorm.weight to F32	  size:3584
Quantize param model.layers.9.self_attn.k_proj.bias to F32	  size:512
Quantize param model.layers.9.self_attn.k_proj.weight to Q4_0	  size:64512
Quantize param model.layers.9.self_attn.o_proj.weight to Q4_0	  size:451584
Quantize param model.layers.9.self_attn.q_proj.bias to F32	  size:3584
Quantize param model.layers.9.self_attn.q_proj.weight to Q4_0	  size:451584
Quantize param model.layers.9.self_attn.v_proj.bias to F32	  size:512
Quantize param model.layers.9.self_attn.v_proj.weight to Q4_0	  size:64512 type:Q4_0
Quantize param model.norm.weight to F32	  size:3584
write param model.embed_tokens.weight size 544538624 offset 17886 type 0
write param model.layers.0.input_layernorm.weight size 3584 offset 544556510 type 0
write param model.layers.0.mlp.down_proj.weight size 2451456 offset 544560094 type 2
write param model.layers.0.mlp.gate_proj.weight size 17432576 offset 547011550 type 0
write param model.layers.0.mlp.up_proj.weight size 2451456 offset 564444126 type 2
write param model.layers.0.post_attention_layernorm.weight size 3584 offset 566895582 type 0
write param model.layers.0.self_attn.k_proj.bias size 512 offset 566899166 type 0
write param model.layers.0.self_attn.k_proj.weight size 64512 offset 566899678 type 2
write param model.layers.0.self_attn.o_proj.weight size 451584 offset 566964190 type 2
write param model.layers.0.self_attn.q_proj.bias size 3584 offset 567415774 type 0
write param model.layers.0.self_attn.q_proj.weight size 451584 offset 567419358 type 2
write param model.layers.0.self_attn.v_proj.bias size 512 offset 567870942 type 0
write param model.layers.0.self_attn.v_proj.weight size 64512 offset 567871454 type 2
write param model.layers.1.input_layernorm.weight size 3584 offset 567935966 type 0
write param model.layers.1.mlp.down_proj.weight size 2451456 offset 567939550 type 2
write param model.layers.1.mlp.gate_proj.weight size 17432576 offset 570391006 type 0
write param model.layers.1.mlp.up_proj.weight size 2451456 offset 587823582 type 2
write param model.layers.1.post_attention_layernorm.weight size 3584 offset 590275038 type 0
write param model.layers.1.self_attn.k_proj.bias size 512 offset 590278622 type 0
write param model.layers.1.self_attn.k_proj.weight size 64512 offset 590279134 type 2
write param model.layers.1.self_attn.o_proj.weight size 451584 offset 590343646 type 2
write param model.layers.1.self_attn.q_proj.bias size 3584 offset 590795230 type 0
write param model.layers.1.self_attn.q_proj.weight size 451584 offset 590798814 type 2
write param model.layers.1.self_attn.v_proj.bias size 512 offset 591250398 type 0
write param model.layers.1.self_attn.v_proj.weight size 64512 offset 591250910 type 2
write param model.layers.10.input_layernorm.weight size 3584 offset 591315422 type 0
write param model.layers.10.mlp.down_proj.weight size 2451456 offset 591319006 type 2
write param model.layers.10.mlp.gate_proj.weight size 17432576 offset 593770462 type 0
write param model.layers.10.mlp.up_proj.weight size 2451456 offset 611203038 type 2
write param model.layers.10.post_attention_layernorm.weight size 3584 offset 613654494 type 0
write param model.layers.10.self_attn.k_proj.bias size 512 offset 613658078 type 0
write param model.layers.10.self_attn.k_proj.weight size 64512 offset 613658590 type 2
write param model.layers.10.self_attn.o_proj.weight size 451584 offset 613723102 type 2
write param model.layers.10.self_attn.q_proj.bias size 3584 offset 614174686 type 0
write param model.layers.10.self_attn.q_proj.weight size 451584 offset 614178270 type 2
write param model.layers.10.self_attn.v_proj.bias size 512 offset 614629854 type 0
write param model.layers.10.self_attn.v_proj.weight size 64512 offset 614630366 type 2
write param model.layers.11.input_layernorm.weight size 3584 offset 614694878 type 0
write param model.layers.11.mlp.down_proj.weight size 2451456 offset 614698462 type 2
write param model.layers.11.mlp.gate_proj.weight size 17432576 offset 617149918 type 0
write param model.layers.11.mlp.up_proj.weight size 2451456 offset 634582494 type 2
write param model.layers.11.post_attention_layernorm.weight size 3584 offset 637033950 type 0
write param model.layers.11.self_attn.k_proj.bias size 512 offset 637037534 type 0
write param model.layers.11.self_attn.k_proj.weight size 64512 offset 637038046 type 2
write param model.layers.11.self_attn.o_proj.weight size 451584 offset 637102558 type 2
write param model.layers.11.self_attn.q_proj.bias size 3584 offset 637554142 type 0
write param model.layers.11.self_attn.q_proj.weight size 451584 offset 637557726 type 2
write param model.layers.11.self_attn.v_proj.bias size 512 offset 638009310 type 0
write param model.layers.11.self_attn.v_proj.weight size 64512 offset 638009822 type 2
write param model.layers.12.input_layernorm.weight size 3584 offset 638074334 type 0
write param model.layers.12.mlp.down_proj.weight size 2451456 offset 638077918 type 2
write param model.layers.12.mlp.gate_proj.weight size 17432576 offset 640529374 type 0
write param model.layers.12.mlp.up_proj.weight size 2451456 offset 657961950 type 2
write param model.layers.12.post_attention_layernorm.weight size 3584 offset 660413406 type 0
write param model.layers.12.self_attn.k_proj.bias size 512 offset 660416990 type 0
write param model.layers.12.self_attn.k_proj.weight size 64512 offset 660417502 type 2
write param model.layers.12.self_attn.o_proj.weight size 451584 offset 660482014 type 2
write param model.layers.12.self_attn.q_proj.bias size 3584 offset 660933598 type 0
write param model.layers.12.self_attn.q_proj.weight size 451584 offset 660937182 type 2
write param model.layers.12.self_attn.v_proj.bias size 512 offset 661388766 type 0
write param model.layers.12.self_attn.v_proj.weight size 64512 offset 661389278 type 2
write param model.layers.13.input_layernorm.weight size 3584 offset 661453790 type 0
write param model.layers.13.mlp.down_proj.weight size 2451456 offset 661457374 type 2
write param model.layers.13.mlp.gate_proj.weight size 17432576 offset 663908830 type 0
write param model.layers.13.mlp.up_proj.weight size 2451456 offset 681341406 type 2
write param model.layers.13.post_attention_layernorm.weight size 3584 offset 683792862 type 0
write param model.layers.13.self_attn.k_proj.bias size 512 offset 683796446 type 0
write param model.layers.13.self_attn.k_proj.weight size 64512 offset 683796958 type 2
write param model.layers.13.self_attn.o_proj.weight size 451584 offset 683861470 type 2
write param model.layers.13.self_attn.q_proj.bias size 3584 offset 684313054 type 0
write param model.layers.13.self_attn.q_proj.weight size 451584 offset 684316638 type 2
write param model.layers.13.self_attn.v_proj.bias size 512 offset 684768222 type 0
write param model.layers.13.self_attn.v_proj.weight size 64512 offset 684768734 type 2
write param model.layers.14.input_layernorm.weight size 3584 offset 684833246 type 0
write param model.layers.14.mlp.down_proj.weight size 2451456 offset 684836830 type 2
write param model.layers.14.mlp.gate_proj.weight size 17432576 offset 687288286 type 0
write param model.layers.14.mlp.up_proj.weight size 2451456 offset 704720862 type 2
write param model.layers.14.post_attention_layernorm.weight size 3584 offset 707172318 type 0
write param model.layers.14.self_attn.k_proj.bias size 512 offset 707175902 type 0
write param model.layers.14.self_attn.k_proj.weight size 64512 offset 707176414 type 2
write param model.layers.14.self_attn.o_proj.weight size 451584 offset 707240926 type 2
write param model.layers.14.self_attn.q_proj.bias size 3584 offset 707692510 type 0
write param model.layers.14.self_attn.q_proj.weight size 451584 offset 707696094 type 2
write param model.layers.14.self_attn.v_proj.bias size 512 offset 708147678 type 0
write param model.layers.14.self_attn.v_proj.weight size 64512 offset 708148190 type 2
write param model.layers.15.input_layernorm.weight size 3584 offset 708212702 type 0
write param model.layers.15.mlp.down_proj.weight size 2451456 offset 708216286 type 2
write param model.layers.15.mlp.gate_proj.weight size 17432576 offset 710667742 type 0
write param model.layers.15.mlp.up_proj.weight size 2451456 offset 728100318 type 2
write param model.layers.15.post_attention_layernorm.weight size 3584 offset 730551774 type 0
write param model.layers.15.self_attn.k_proj.bias size 512 offset 730555358 type 0
write param model.layers.15.self_attn.k_proj.weight size 64512 offset 730555870 type 2
